20.0 # 80.0 # 0.0 # 1.5 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
寒铁棍	25	17754.59309	2.96489	2.55151	2.55151	2.96489
玄阶中级	25	2459.97374	3.74928	1.73336	3.74928	1.73336
雪魔天猿	25	49002.67692	4.01947	3.36852	3.36852	4.01947
两者接触	25	448.41143	2.17924	1.66918	1.66918	2.17924
一抹戏谑	25	164.87944	3.29780	2.38928	3.29780	2.38928
万药山脉	25	1926.76515	4.00163	2.64082	4.00163	2.64082
有些忐忑	25	151.35494	4.10347	1.64568	4.10347	1.64568
犹如实质	25	128.98700	4.24386	1.99830	4.24386	1.99830
斗气之翼	25	616.70810	3.02268	2.77151	3.02268	2.77151
火焰柱	25	201.91482	2.91508	2.78242	2.78242	2.91508
可曾	25	197.41607	3.82928	3.07508	3.07508	3.82928
这片大陆	25	81.53165	3.43327	2.44735	3.43327	2.44735
雪魅	25	28087.95414	3.39341	2.28903	2.28903	3.39341
菩提丹	25	472.66470	3.85539	2.63662	3.85539	2.63662
有些幸灾乐祸	25	91.94459	3.82928	1.53947	3.82928	1.53947
究竟是否	25	315.10918	3.86347	3.23508	3.23508	3.86347
黑石碑	25	904.26243	3.25469	3.04145	3.04145	3.25469
泛起一阵	25	144.47356	3.97366	3.18268	3.97366	3.18268
低吼声	25	727.64061	2.91937	1.86438	2.91937	1.86438
几天时间	25	214.80807	3.59327	2.65288	3.59327	2.65288
到哪里	25	82.07316	3.12322	1.78953	3.12322	1.78953
帝品丹药	25	286.08354	2.75508	2.70915	2.75508	2.70915
先把	25	125.66812	4.48386	2.66347	2.66347	4.48386
斗帝层次	25	337.81330	2.99741	1.73620	2.99741	1.73620
五色火焰	25	165.72254	3.12489	2.04945	2.04945	3.12489
我儿子	25	116.60129	4.16386	4.00386	4.16386	4.00386
银色卷轴	25	272.61736	3.17366	2.29972	3.17366	2.29972
变幻成	25	299.00887	3.36749	2.08386	3.36749	2.08386
未曾看见	25	94.94605	3.25366	3.17366	3.17366	3.25366
看台之上	25	292.21780	2.10953	2.08150	2.08150	2.10953
阳光从	25	82.60683	2.63662	2.07174	2.07174	2.63662
更高	25	196.55501	4.24386	2.16154	4.24386	2.16154
星辰之力	25	939.65696	3.31249	3.12489	3.31249	3.12489
转移向	25	216.74220	3.82928	3.26760	3.82928	3.26760
使得自己	25	112.66179	4.37366	3.71908	3.71908	4.37366
黑骷墓	25	6148.98456	3.46423	2.65288	3.46423	2.65288
五星斗宗	25	317.31667	3.67327	3.33869	3.67327	3.33869
能坚持	24	84.90363	3.40311	2.18432	2.18432	3.40311
不会拒绝	24	186.39965	3.11991	1.76175	3.11991	1.76175
相当之大	24	1990.94114	3.02206	1.78416	3.02206	1.78416
血宗少宗主	24	6245.43922	3.16830	3.08233	3.08233	3.16830
这位曾经	24	156.92606	3.08496	3.03416	3.03416	3.08496
攻击范围	24	290.06229	2.64164	2.51103	2.51103	2.64164
吞噬而进	24	334.85556	3.97018	1.61220	3.97018	1.61220
银色闪电	24	195.07734	3.11479	3.09580	3.09580	3.11479
何时出现	24	108.34539	2.05982	1.66251	2.05982	1.66251
三大首领	24	3035.78794	4.05351	2.48426	2.48426	4.05351
一大群人	24	117.39223	3.50163	3.13338	3.13338	3.50163
还真会	24	412.43371	3.31291	2.38376	2.38376	3.31291
小萧潇	24	311.02178	3.19812	2.66667	2.66667	3.19812
雄浑气势	24	241.39250	3.54248	2.79248	3.54248	2.79248
一株药材	24	625.46372	3.41937	3.11749	3.41937	3.11749
这支队伍	24	2755.34083	3.87966	3.76789	3.87966	3.76789
一己之力	24	2994.87467	2.37581	2.29868	2.29868	2.37581
黄袍老者	24	1560.40367	4.01789	2.56003	2.56003	4.01789
青色火苗	24	506.40709	3.04530	2.79248	3.04530	2.79248
那些老生	24	107.42758	3.99060	3.97018	3.97018	3.99060
弥漫着一种	24	241.04997	4.41830	2.68163	2.68163	4.41830
岩浆之底	24	1012.96181	3.34436	2.66606	3.34436	2.66606
再拖延	24	218.33396	3.36749	2.31753	3.36749	2.31753
任何一点	24	82.28298	4.10539	2.72125	2.72125	4.10539
青色液体	24	124.14565	3.70813	3.08430	3.70813	3.08430
透着丝丝	24	2858.68801	4.41830	1.72018	1.72018	4.41830
山坡上	24	153.41456	3.06803	2.71879	2.71879	3.06803
透着一抹	24	118.17603	4.22018	2.49584	2.49584	4.22018
声波斗技	24	494.77150	3.22957	2.73142	3.22957	2.73142
着重尺	24	35805.23466	3.11575	1.60376	3.11575	1.60376
太爷爷	24	1401.87376	3.31291	3.03145	3.03145	3.31291
变得黯淡	24	259.97530	2.91937	1.68190	2.91937	1.68190
足可	24	207.20790	3.68282	2.83272	2.83272	3.68282
音波阵	24	5614.29025	2.78658	2.57166	2.78658	2.57166
怒视着	24	92.66185	3.52206	2.91606	3.52206	2.91606
帝国边境	24	860.79968	3.62165	3.25271	3.25271	3.62165
终于是从	24	123.45057	4.16830	3.01789	3.01789	4.16830
奥巴帕	24	36195.15909	3.65727	3.11459	3.11459	3.65727
自掌心	24	180.17813	3.57393	3.40136	3.40136	3.57393
超级势力	24	402.24673	3.36749	2.94651	3.36749	2.94651
残影浮现	24	205.25343	2.39774	2.37209	2.39774	2.37209
没什么问题	24	462.48239	3.49060	2.18232	3.49060	2.18232
远远比不上	24	835.45548	4.18872	3.68872	3.68872	4.18872
八段斗之气	24	9331.56445	3.49060	2.58583	3.49060	2.58583
极浓	24	1820.44618	4.00163	1.80127	4.00163	1.80127
红裙女子	24	2502.67396	4.00163	2.77839	2.77839	4.00163
回春散	24	9984.87147	2.16389	2.08056	2.16389	2.08056
尚还是	24	121.87971	4.41830	3.48470	3.48470	4.41830
山洞内	24	124.10696	3.00271	2.45284	2.45284	3.00271
彻底炼化	24	111.70301	3.72018	2.41309	3.72018	2.41309
邙天尺	24	106172.46667	4.22018	3.24060	3.24060	4.22018
中透着	24	92.66185	3.49060	3.12165	3.12165	3.49060
变得淡化	24	550.09266	3.05351	1.76349	3.05351	1.76349
平原之上	24	96.73417	3.30729	1.91389	3.30729	1.91389
老牌势力	24	1329.64893	2.51103	2.49722	2.51103	2.49722
加玛皇室	24	392.77070	3.56803	3.40136	3.40136	3.56803
山脉深处	24	189.71226	2.90786	2.63376	2.90786	2.63376
少族长	24	500.39390	3.39624	2.66606	2.66606	3.39624
缓步走进	23	982.84099	3.58835	3.15422	3.15422	3.58835
黑白天尊	23	3534.47204	3.72510	3.44726	3.44726	3.72510
黄泉之底	23	1674.60630	3.49524	3.20337	3.20337	3.49524
空间屏障	23	251.26217	3.38436	2.20604	3.38436	2.20604
玄阶低级	23	2362.81251	3.41444	2.09697	3.41444	2.09697
那个小子	23	91.48593	3.96900	3.46858	3.96900	3.46858
无形之火	23	1191.78464	3.63041	2.58023	3.63041	2.58023
能量炸响	23	132.17110	2.28079	2.06577	2.06577	2.28079
已经快要	23	190.40973	4.01879	3.84488	4.01879	3.84488
那望向	23	1663.76731	2.65315	2.56619	2.56619	2.65315
完全由	23	137.50380	4.11009	4.08878	4.11009	4.08878
化形丹	23	4908.80474	3.70813	3.07642	3.70813	3.07642
大斗师级别	23	373.19920	3.67097	2.15329	3.67097	2.15329
磅礴气息	23	101.53455	2.25810	2.06266	2.06266	2.25810
两人对视	23	86.18503	2.89542	1.51039	2.89542	1.51039
少不了一番	23	3255.95564	4.22987	2.03213	2.03213	4.22987
欲转身	23	341.10603	3.44726	2.54053	2.54053	3.44726
山洞内部	23	968.20197	2.97532	2.96096	2.96096	2.97532
佛克兰	23	17052.84032	3.51837	3.32314	3.32314	3.51837
算是彻底	23	99.79703	3.28850	2.86905	3.28850	2.86905
噗噗	23	3582.52247	2.33957	1.88925	2.33957	1.88925
高阶斗技	23	381.78797	3.02229	2.11909	3.02229	2.11909
顺着喉咙	23	348.19579	3.07743	2.15272	2.15272	3.07743
这个混蛋	23	146.22293	3.41444	2.84837	2.84837	3.41444
地阶低级	23	2450.78958	3.74095	2.05426	3.74095	2.05426
黑色雾气	23	238.22206	3.58219	3.57262	3.57262	3.58219
急速涌动	23	238.47564	3.37546	1.53422	3.37546	1.53422
闷哼声	23	14587.61489	2.61416	1.65400	2.61416	1.65400
半月时间	23	329.37237	3.26184	2.66232	3.26184	2.66232
中州大陆	23	100.10686	3.46858	2.64696	2.64696	3.46858
尽数驱逐	23	401.76702	3.17054	1.64445	3.17054	1.64445
视线转向	23	114.04771	4.14291	2.70294	2.70294	4.14291
溢出一抹	23	362.73477	3.46423	2.34505	2.34505	3.46423
十大强者	23	573.38866	3.00097	1.97881	1.97881	3.00097
琳菲	23	138485.82609	2.99229	1.68430	1.68430	2.99229
这具身体	23	230.26560	3.58835	3.07925	3.58835	3.07925
彩裙女子	23	3933.36923	4.22987	2.61719	2.61719	4.22987
半圣层次	23	309.69775	3.14206	1.64872	3.14206	1.64872
雅妃小姐	23	294.78823	2.66578	2.66232	2.66578	2.66232
虽然比不上	23	125.68993	4.43661	3.76227	3.76227	4.43661
躲避开	23	1328.16639	3.74424	3.19620	3.74424	3.19620
每个人	23	101.25080	3.46858	2.57536	3.46858	2.57536
一下子便是	23	97.70994	3.84488	3.39313	3.39313	3.84488
斗圣层次	23	169.08785	2.15272	2.10605	2.15272	2.10605
势力首领	23	307.87173	3.28316	3.20771	3.20771	3.28316
斗王阶别的	23	5998.44444	4.34965	2.98947	4.34965	2.98947
毒蛇般的	23	196.04743	4.34965	2.05274	2.05274	4.34965
尺身之上	23	203.66695	2.03213	1.95330	1.95330	2.03213
不是第一次	23	95.47137	3.29032	2.97966	2.97966	3.29032
密林之中	23	101.99169	3.36804	2.14838	3.36804	2.14838
大平原	23	273.69149	3.39081	1.50239	1.50239	3.39081
毒蛇般	23	488.78437	3.32748	1.97559	3.32748	1.97559
那魂天帝	23	1004.75919	4.31683	2.90533	2.90533	4.31683
总不能	23	683.63492	4.22987	2.45558	2.45558	4.22987
不懂	23	263.78538	3.76227	3.58219	3.58219	3.76227
不仅未曾	23	97.76209	3.81640	2.65315	2.65315	3.81640
众长老	23	289.59561	3.11459	2.85856	2.85856	3.11459
白衣青年	23	331.39573	3.67531	3.44644	3.44644	3.67531
浑圆丹药	23	549.89343	2.04945	1.99931	1.99931	2.04945
竟然还敢	23	407.67391	4.26269	2.99481	2.99481	4.26269
沸腾起来	23	124.78007	3.55553	1.79901	3.55553	1.79901
金色光芒	23	158.82917	3.38436	3.06662	3.38436	3.06662
毁灭之力	23	151.05728	2.76858	1.79901	2.76858	1.79901
将会成为	23	115.23059	4.34965	3.08793	3.08793	4.34965
犹如火山	23	249.08539	2.98947	2.26018	2.98947	2.26018
动手炼制	23	82.89290	4.08878	3.84488	4.08878	3.84488
不耐	23	406.66912	2.90251	2.13832	2.90251	2.13832
万药斋	23	56527.00772	3.48008	3.14923	3.48008	3.14923
急速旋转	22	206.72209	4.36852	2.32789	4.36852	2.32789
天蝎子	22	509.07988	2.97095	2.67674	2.97095	2.67674
短短三年	22	343.27199	2.46324	2.38436	2.46324	2.38436
旋转速度	22	120.57745	2.88992	2.60694	2.60694	2.88992
休息一下	22	203.15671	3.53377	1.84008	3.53377	1.84008
赶去	22	206.78920	3.73216	2.10541	3.73216	2.10541
突破至斗宗	22	5035.84822	4.06148	2.57262	4.06148	2.57262
第一变	22	781.48960	2.06148	1.91969	2.06148	1.91969
水晶台上	22	1682.12175	3.45656	1.57951	3.45656	1.57951
轻挑	22	953.69683	2.98641	1.94756	2.98641	1.94756
有些变色	22	125.47106	2.65899	1.52897	2.65899	1.52897
兽吼	22	1067.77539	2.81045	2.67674	2.81045	2.67674
掠过些许	22	242.77241	4.00489	2.69785	2.69785	4.00489
执意要	22	343.32413	3.97057	3.78875	3.78875	3.97057
有些庆幸	22	109.58864	3.62468	2.05326	3.62468	2.05326
两名斗尊	22	189.60600	3.69785	1.88538	3.69785	1.88538
还要更加	22	371.80756	3.56618	2.72972	2.72972	3.56618
雷池深处	22	1627.50437	2.90370	1.82044	2.90370	1.82044
天地异象	22	1221.77752	3.82307	1.81664	3.82307	1.81664
犹如蜘蛛网	22	523.12640	2.26939	1.67429	2.26939	1.67429
生灵之焱	22	66232.35161	2.90869	2.26113	2.90869	2.26113
铁佣兵团	22	846.60901	3.75444	3.62468	3.75444	3.62468
玄黄要塞	22	13276.58734	3.26606	3.16096	3.16096	3.26606
周围天地间	22	127.05467	3.13392	2.94756	2.94756	3.13392
不曾具备	22	3101.57252	2.28338	1.97629	1.97629	2.28338
炸响声	22	24163.38897	2.18190	1.63881	1.63881	2.18190
黄阶高级	22	2481.71937	3.69785	2.58288	3.69785	2.58288
能打败	22	89.22579	4.15239	3.53831	3.53831	4.15239
逼出	22	95.22971	4.16589	3.33210	4.16589	3.33210
一条命	22	1004.49868	3.09580	1.67293	3.09580	1.67293
能量团	22	227.56415	3.02304	2.97057	2.97057	3.02304
只有不到	22	159.39056	4.27761	2.86119	2.86119	4.27761
身着一套	22	2050.74124	3.87966	3.09580	3.09580	3.87966
一些高阶	22	86.65490	4.06148	2.36675	4.06148	2.36675
怎会	22	112.64748	4.29708	1.94566	1.94566	4.29708
没兴趣	22	261.21998	4.02717	2.76765	4.02717	2.76765
撕裂开	22	759.63260	3.39081	2.82234	3.39081	2.82234
一脸错愕	22	447.75895	3.17467	1.90576	3.17467	1.90576
副殿	22	198.47794	2.50400	2.06148	2.06148	2.50400
搽拭	22	17597.64641	3.78418	2.54961	3.78418	2.54961
暂避锋芒	22	96520.42424	2.69448	1.77028	2.69448	1.77028
危险姓	22	219.07998	2.76469	2.19696	2.76469	2.19696
十倍不止	22	19935.65519	3.06148	2.27130	3.06148	2.27130
地黄精	22	2008.07623	3.55852	3.33210	3.33210	3.55852
滔天斗气	22	108.54063	3.39081	1.94566	1.94566	3.39081
领头者	22	983.07840	2.74800	2.54790	2.74800	2.54790
金帝焚天炎	22	116789.71333	3.40370	3.23686	3.23686	3.40370
三人联手	22	179.03791	2.72472	2.41309	2.72472	2.41309
既然大家	22	364.54066	2.63881	1.79901	1.79901	2.63881
蛇形魔兽	22	1183.45963	2.66353	2.18190	2.18190	2.66353
开口说话	22	279.13411	3.78875	1.87515	3.78875	1.87515
得干干净净	22	195.76320	3.07174	1.63881	3.07174	1.63881
一名佣兵	22	91.78743	4.15239	3.04037	3.04037	4.15239
三大帝国	22	266.13481	3.78875	3.43994	3.43994	3.78875
闪过些许	22	323.20684	4.45943	2.45765	2.45765	4.45943
拼尽全力	22	11506.37570	4.00489	1.87466	4.00489	1.87466
未有丝毫	22	769.90670	3.82307	3.25914	3.25914	3.82307
紫黑	22	450.92553	2.55415	1.63862	1.63862	2.55415
再度恢复	22	97.35397	3.35649	2.63881	3.35649	2.63881
拍卖台上	22	704.76247	3.50689	1.96577	3.50689	1.96577
院落之中	22	102.58600	2.43874	1.81826	2.43874	1.81826
闪过许些	22	103.32538	4.27761	2.58847	2.58847	4.27761
不能轻易	22	142.95471	3.44740	3.26104	3.26104	3.44740
宗派势力	22	438.78415	2.91779	2.85856	2.91779	2.85856
居然还敢	22	543.46074	3.87966	1.83332	1.83332	3.87966
这么容易	22	155.05804	3.44286	3.25914	3.25914	3.44286
缓缓停止	22	101.96532	2.11110	1.54402	2.11110	1.54402
透着一分	22	1124.38349	3.97057	2.36675	2.36675	3.97057
斗师级别	22	585.94077	3.29990	2.42268	3.29990	2.42268
整片山脉	22	531.93830	2.26939	2.14036	2.14036	2.26939
瞬间凝固	22	135.01857	3.08377	1.77234	3.08377	1.77234
不了多久	22	1140.98881	2.58288	2.56926	2.58288	2.56926
不算太过	22	561.60151	4.18670	1.67293	1.67293	4.18670
找不到	22	248.10516	4.15239	3.60694	3.60694	4.15239
古圣城	22	2484.00666	3.56808	3.45853	3.45853	3.56808
自眉心	21	306.55307	3.00568	2.94439	2.94439	3.00568
斗晶之中	21	110.44803	3.11828	2.54986	3.11828	2.54986
那慕骨老人	21	3007.71860	3.59447	2.87951	2.87951	3.59447
陡然响彻	21	84.28021	2.48569	1.87636	2.48569	1.87636
一道凄厉	21	81.24082	2.87449	2.35381	2.87449	2.35381
晋入半圣	21	829.31813	3.91613	1.86758	3.91613	1.86758
药星极	21	12535.35495	3.42733	2.97084	2.97084	3.42733
实在太	21	121.10687	3.33210	2.71212	3.33210	2.71212
一道倩影	21	90.11194	4.07066	2.35319	2.35319	4.07066
奥托大师	21	905.57727	3.48418	3.36804	3.36804	3.48418
静等	21	292.48613	2.68418	2.52075	2.68418	2.52075
这炼药师	21	1398.52501	3.51782	2.39631	3.51782	2.39631
恢复巅峰	21	265.33009	3.68970	1.71664	3.68970	1.71664
斗宗级别	21	119.59266	3.55376	2.19928	3.55376	2.19928
抵御住	21	940.76869	3.97542	3.24946	3.24946	3.97542
一座城市	21	454.68462	3.43994	3.36329	3.36329	3.43994
整个内院	21	123.72422	3.30370	1.67524	3.30370	1.67524
灰紫色	21	663.15686	2.69662	2.15329	2.69662	2.15329
帝国东部	21	913.45498	2.74806	2.25857	2.74806	2.25857
柔和笑容	21	262.94777	2.41566	1.77991	2.41566	1.77991
无数岁月	21	494.48255	3.00568	1.97665	3.00568	1.97665
别想	21	120.85064	3.88018	1.64644	1.64644	3.88018
房间之外	21	92.74685	2.87996	2.52949	2.87996	2.52949
能量巨蛇	21	167.09256	3.15422	3.13487	3.13487	3.15422
能量冲击波	21	422.37285	2.81045	2.21924	2.21924	2.81045
龙凰血脉	21	1039.45072	3.36804	2.71212	3.36804	2.71212
缓缓蠕动	21	83.65599	3.36129	2.29831	3.36129	2.29831
悄然蔓延	21	229.02524	3.55852	2.18367	3.55852	2.18367
掩嘴	21	1985.00323	2.35381	2.25761	2.25761	2.35381
迎上	21	97.43062	3.06497	2.09546	3.06497	2.09546
锦袍女子	21	1264.55533	3.72565	2.86032	2.86032	3.72565
下一任	21	284.12115	3.36329	3.00369	3.00369	3.36329
高阶魔兽	21	315.42622	3.26606	3.00568	3.26606	3.00568
噬咬	21	2524.48120	3.59447	2.26096	3.59447	2.26096
嘴角溢出	21	1128.52245	3.24946	1.62538	3.24946	1.62538
将近大半	21	786.46272	2.12995	1.60168	1.60168	2.12995
一脸惊愕	21	319.14505	2.24853	1.57235	2.24853	1.57235
今天晚上	21	1788.84933	3.91613	2.65772	2.65772	3.91613
将近一半	21	786.46272	2.29046	2.24853	2.24853	2.29046
第一次遇见	21	245.76960	3.48418	3.17281	3.17281	3.48418
两人间	21	7607.89968	3.44145	2.00633	3.44145	2.00633
重伤状态	21	350.92260	3.65376	1.73321	3.65376	1.73321
疯狂旋转	21	235.76251	3.78418	1.91997	3.78418	1.91997
空间封锁	21	161.83418	3.23686	3.13487	3.23686	3.13487
攀爬上	21	113.97544	3.26606	3.04163	3.04163	3.26606
有些慌乱	21	88.86000	3.78494	1.74644	3.78494	1.74644
惹来	21	133.15945	3.55852	3.36129	3.55852	3.36129
混元塑骨丹	21	144780.63636	2.56096	1.93321	1.93321	2.56096
法犸会长	21	1953.52377	2.74806	2.61688	2.61688	2.74806
不顺眼	21	278.47994	4.16589	2.38976	4.16589	2.38976
不适合	21	110.01677	4.20184	2.80735	2.80735	4.20184
得一塌糊涂	21	259.98591	2.10157	1.53321	2.10157	1.53321
尖鸣声	21	32344.61025	2.10157	1.81664	1.81664	2.10157
那张清秀	21	109.82890	3.23686	1.77991	3.23686	1.77991
我天妖凰族	21	8823.19668	3.65376	3.23011	3.65376	3.23011
以后者	21	399.00175	2.38570	2.25857	2.25857	2.38570
正常情况	21	703.43949	2.21924	1.96282	2.21924	1.96282
渲染得	21	103.09786	3.82089	3.08233	3.82089	3.08233
干枯手掌	21	115.52065	3.36804	3.13935	3.13935	3.36804
痛苦之色	21	518.53278	2.96498	1.89092	2.96498	1.89092
破解封印	21	1438.09456	3.82089	2.16847	3.82089	2.16847
两位老者	21	98.70023	3.24946	2.62273	2.62273	3.24946
金色巨人	21	1571.63191	2.93854	2.43901	2.43901	2.93854
摧枯拉朽般的	21	511.42807	3.68970	3.46328	3.46328	3.68970
如何才能	21	288.09089	4.20184	3.97542	3.97542	4.20184
紫色液体	21	230.40900	3.10567	2.68402	3.10567	2.68402
这冰河谷	21	7806.79902	4.20184	3.27280	3.27280	4.20184
试试能否	21	1266.25500	3.65376	3.49923	3.49923	3.65376
三大势力	21	247.83397	3.55852	2.87951	3.55852	2.87951
五曰	21	115.23884	2.99662	2.42640	2.99662	2.42640
潜力值	21	10668.04689	3.07558	1.87515	3.07558	1.87515
学员们	21	728.63458	3.42733	2.24853	2.24853	3.42733
一团团	21	302.54312	3.65376	2.69546	2.69546	3.65376
负面情绪	21	8975.93317	2.48879	1.81664	2.48879	1.81664
始终难以	21	288.58558	3.74899	2.11734	2.11734	3.74899
漆黑灰烬	21	448.55589	2.67727	2.12799	2.67727	2.12799
什么差错	21	271.82333	2.08548	1.93272	1.93272	2.08548
六章 	21	1843.78009	4.39232	3.23686	3.23686	4.39232
灵魂残印	20	902.82710	3.00311	2.93935	2.93935	3.00311
九品宝丹	20	15705.98619	3.30869	2.53586	3.30869	2.53586
莽荒古域	20	71018.37235	3.72161	2.39047	2.39047	3.72161
有些发白	20	262.34857	3.04644	1.88338	3.04644	1.88338
半曰	20	312.03793	3.58418	2.49546	3.58418	2.49546
想要获得	20	202.49684	4.12193	2.17095	2.17095	4.12193
七彩光影	20	872.59064	3.44644	3.30272	3.30272	3.44644
七天时间	20	477.35126	2.96096	1.91924	2.96096	1.91924
拼起来	20	108.50441	2.46096	1.57890	2.46096	1.57890
血腥之味	20	6054.88832	2.24929	2.07849	2.24929	2.07849
从来没有	20	298.57834	3.40370	3.10370	3.10370	3.40370
天尊面色	20	90.39570	3.23935	1.57890	1.57890	3.23935
宗主之位	20	1452.42772	3.54644	2.14402	3.54644	2.14402
这九幽黄泉	20	4708.31338	3.08418	2.92322	2.92322	3.08418
嗤啦	20	1403.93344	2.46507	2.39208	2.39208	2.46507
cha手	20	3547.35939	3.82193	2.92821	3.82193	2.92821
红润小嘴	20	5322.81751	3.30056	2.55772	3.30056	2.55772
这个年轻人	20	80.86764	2.79546	2.66096	2.66096	2.79546
移向	20	758.95301	4.12193	2.44145	2.44145	4.12193
能够做到	20	109.38774	3.50370	2.90161	3.50370	2.90161
灵魂音波	20	98.13338	2.81533	1.77321	1.77321	2.81533
焚决功法	20	301.60062	3.33935	2.14644	3.33935	2.14644
三个小时	20	687.75687	3.34644	2.43321	3.34644	2.43321
达到五星	20	181.51984	2.01904	1.97095	1.97095	2.01904
一种名为	20	147.96594	3.24644	2.41924	3.24644	2.41924
大斗师左右	20	304.83780	3.44644	2.46387	3.44644	2.46387
那团黑雾	20	625.05868	2.82193	2.80869	2.80869	2.82193
不太清楚	20	254.94445	3.02193	3.00370	3.00370	3.02193
闪掠过	20	402.16843	3.88418	3.54145	3.88418	3.54145
极多	20	150.04588	3.12193	1.68048	3.12193	1.68048
致命般的	20	215.33813	3.34644	3.02821	3.34644	3.02821
正在急速	20	126.48388	3.13935	2.49613	2.49613	3.13935
星界之中	20	102.79795	2.66450	2.31924	2.66450	2.31924
这才短短	20	217.55687	3.58418	1.92322	1.92322	3.58418
想要干什么	20	284.54297	2.08050	1.78548	1.78548	2.08050
树干之上	20	87.22919	2.18150	1.71664	2.18150	1.71664
两月	20	368.19841	3.64644	2.68418	2.68418	3.64644
大门之外	20	154.70721	3.42193	2.13535	3.42193	2.13535
众位长老	20	469.30514	3.24145	3.06596	3.06596	3.24145
黑色卷轴	20	100.49833	3.13935	2.55773	2.55773	3.13935
远远比	20	97.77971	4.12193	2.31498	2.31498	4.12193
流露出一抹	20	473.13231	4.12193	3.32193	3.32193	4.12193
吹拂而	20	85.37097	2.92193	2.28338	2.92193	2.28338
狰狞之色	20	128.87511	3.24145	2.14402	3.24145	2.14402
取到	20	84.00429	3.88418	2.64644	2.64644	3.88418
胡长老	20	543.40595	4.12193	2.80004	2.80004	4.12193
炼药天赋	20	193.97428	3.34644	2.31924	2.31924	3.34644
磐门成员	20	1650.00725	3.72193	3.40370	3.72193	3.40370
究竟能否	20	302.91140	4.22193	2.88418	2.88418	4.22193
兽吼声	20	943.61546	3.10869	2.92193	3.10869	2.92193
更像是	20	686.82997	3.98418	1.55678	1.55678	3.98418
未曾有过	20	631.22751	3.42193	2.87951	3.42193	2.87951
另外一只	20	266.75382	2.92322	2.65772	2.65772	2.92322
并不乏	20	225.15951	2.41924	1.59546	1.59546	2.41924
龙皇大人	20	4423.85278	3.50370	3.42193	3.42193	3.50370
古河大师	20	373.77433	3.34145	3.10161	3.34145	3.10161
懒得理会	20	1504.71183	3.04644	2.55772	3.04644	2.55772
金色液体	20	211.18763	3.38418	3.13935	3.38418	3.13935
三大巨头	20	4283.45078	3.82193	3.30370	3.30370	3.82193
蓝色身影	20	238.61841	3.92193	3.13291	3.13291	3.92193
蒸发成	20	659.79099	3.68418	2.02322	3.68418	2.02322
涟漪波动	20	127.93019	2.18150	1.64375	2.18150	1.64375
仅仅不到	20	141.19806	3.22193	2.55218	2.55218	3.22193
佣兵队伍	20	378.97083	2.32322	2.31924	2.31924	2.32322
两道残影	20	453.85779	2.56387	2.56096	2.56387	2.56096
有些疲惫	20	80.31079	3.78418	2.07724	3.78418	2.07724
还不足以	20	171.84738	3.84644	1.57890	1.57890	3.84644
奥巴帕顿	20	36195.15909	3.82193	2.42821	2.42821	3.82193
裔民	20	120650.53030	1.97095	1.83321	1.83321	1.97095
背后火翼	20	1345.48811	3.03935	1.62822	1.62822	3.03935
够资格	20	968.03501	3.84644	3.82193	3.82193	3.84644
进入气旋	20	83.19161	2.44644	2.17095	2.17095	2.44644
提起这个	20	156.72022	2.77178	2.01924	2.77178	2.01924
这位老先生	20	229.40089	2.89546	2.88418	2.88418	2.89546
广场上空	20	204.01108	2.21924	1.99484	1.99484	2.21924
如此容易	20	91.81293	3.88418	2.68418	3.88418	2.68418
